ID,Название,Ключи,Данные
1956,"Стелющийся над руинами пороховой дым витает в ночи, а под взором полной луны рассыпается древний алтарь.","1UQa, TK",2091033494 2500554317 388554406
1957,Земли Демоноборцев,Gl,1400203596 3217870891 1683400610
1958,"Воздух пропитан запахом магии. Вдалеке смутно виднеется таинственный рунический круг, что, кажется, скрывает злую силу, способную вс",";z, _a, Jy, 2`",3968367441 2390541609 2110224674
1959,перевернуть.,"/d, rd, U$",585724327 1351543678 553660611
1960,Запретный Алтарь Тайн,"Ly, <], /t~T#ZX",768850596 66260088 1430468143
1961,"Святилище, окутанное тенями и ядовитым туманом, хранящее запретную силу.",c2O,2869190204 1775555907 2222207055
1962,Древний Дракон,"-g`, gs",1047013206 332434204 642770732
1963,"Повелитель бездны, восседающий в разломе пространства-времени и охраняющий древнюю печать божественной властью.",13,4017635627 1093500711 351802018
1964,ТАЙНИК ДРАКОНА,,3327816319 2056469717 3647808418
1965,"Фиолетовая бездна, где покоится скелет дракона, тайна и опасность сосуществуют.","~G, 52",1384728148 4039904749 3489166646
1966,Руническое Затмение,"9m}, hj-, D@",2786190002 132562413 3605113213
1967,"В каждую ночь глаз затмения светится призрачно-зеленым светом, затягивая живых существ, ступивших сюда, в бесконечный крестовый поход пустоты. Пока текут руны, разбитая звездная пыль переплетается с дыханием бездны",Tdz,1993069144 3299602379 2920230862
1968,только самые храбрые воины могут выжить в этой трещине между звездным светом и тенью.,Qz,1636580364 1142658973 3989380771
1969,ПЫЛАЮЩИЙ ЗАЛП,"K:, w5",1771977328 793972737 3046939496
1970,Используйте фейерверки осторожно в запрещенных местах.,"OF2>, 37",2278275391 1610713599 3676359915
1971,ЗВЕЗДЫ ГАЛАКТИКИ,,1594423030 3063600101 1496613171
1972,"Врагов, которых я побеждаю, так же много, как звезд на ночном небе.",")|}, (p",2075384997 3077985509 875900136
1973,УДАЧНЫЙ КЛЕВЕР,"lQ, 4S",4063789446 534342842 2735510179
1974,"Олицетворяет настоящую любовь, здоровье, репутацию и счастье.","~E, y-', [n",1393040242 1857258848 4147036876
1975,Флаг победы,uC,3294965403 742312151 3066634089
1976,"Красный флаг взмахивается, как рассвет победы, блестяще яркий.",Jy,2106626817 2218701334 3292840234
1977,плый солнце и радуга,",=, /^,Jf",411262778 3103931240 3428768081
1978,"плый солнце висит высоко в небе, а радуга простирается по небу.",DiD,612750538 1846260729 1104084426
1979,Луна отражает ясный свет,"3{, mV, (.",1568145371 671278073 2615271795
1980,"Холодные лавры и холодная луна далеко друг на друга смотрят, и в воздухе висит похолоданный дух.",""";Ki",1470846681 2288674163 2675102722
1981,Сияющий Лотос,"$_, GZ<, dU, |i",3915289979 3321598990 4008468557
1982,Когда лепестки раскрываются слабый свет струится через их прозрачную поверхность.,"=Y, k6",1338752012 2670132077 1247566061
1983,Песнь Звездного Кита,V;,3127094370 523758344 2008642999
1984,"Сияние сгущается в ряби звездной пыли, а зов кита становится неземным эхом, растворяющимся в безграничном звездном свете.","r7, ev2l",589264866 2521732605 2814846780
1985,Пылающий Взлет Метеора,"X{, `+o",2167127755 3931902230 2172571491
1986,"Огненный столб взметнулся ввысь, разнося боевой клич феникса, и своим пламенем поглотил вс",,306453935 524596807 3216321927
1987,сущее,Hf,4209542658 4066741063 3667874490
1988,оставив после себя лишь пепел.,,2129030750 971554285 4127360205
1989,Общегородской розыск,"t Qs, C1F",1014482796 3319030791 854295736
1990,"Запрещено увеличивать влияние, объявляя в розыск самого себя.","tMG, @S, PE",3537495618 3510329908 304848493
1991,Тыквенная Корона Триумфа,"xJ, T8",1798371798 1862092745 311535460
1992,"Когда звучит рог победы, его пронзительный взгляд и оскал озаряют тьму, словно зловещие символы ночи Хэллоуина.","L$mF, 'K",1223913620 934025237 4026205471
1993,Куриный ужин,,260462438 2108685587 1179754078
1994,"В момент победы над фермой рассветает. Петух кукарекает, его крик эхом разносится по полям","sM, Ng""",17986651 4107601752 1218945891
1995,вестник грядущего праздника.,"(y_@, $@",2702377462 3342615233 2290213582
1996,"Взгляд, Разрушающий Миры","{b, Xo!",2726099931 3696048563 3841439791
1997,"Когда багровый демонический глаз медленно открылся, пространственные барьеры рушились дюйм за дюймом под его взглядом. Одним взглядом, пронзившим измерения, он погасил всякое сопротивление.",M;,1404339617 3098394003 1340018398
1998,Сияющий триумф,"-;, D"", C\",4217999134 3852063600 2182391421
1999,"Когда наносится последний удар, из пустоты вырывается ослепительный кристальный свет. Алмазное сияние окружает вас, вырезая славу победы в магическом круге. Каждый луч света провозглашает: в этой битве вы коронованы как король.","[@, 'F",221553549 3600237537 2148797363
2000,БЛЕСКАТЕЛЬНЫЙ ДЕБЮТ,57,1764480299 4047134178 1356713025
2001,"Свет мигает, поэтому при выходе на сцену рекомендуется закрыть глаза.","U*, DX",1838762486 1680569314 3040504948
2002,ЦВЕТОЧНОЕ ВЕЛИКОЛЕПИЕ,"ih, e_H, mcB",2548346755 642880012 3548575467
2003,"Говорят, что лепестки ароматны и заслужили высокую оценку героев.","6:, 7/, 7c",1614655163 805189775 1398252624
2004,РАЗРУШИТЕЛЬНОЕ ВОЗДЕЙСТВИЕ,Pb&,1251562571 2950515204 2093291748
2005,"Пепел к пеплу, слабаки, уходите!","r<, fS, jc, wSHWD",913517002 2785799904 3297276076
2006,ВРАТА ИЗУМРУДНОЙ ТЕНИ,U#c,1615454902 108668637 4096912325
2007,"Эти лианы обучены. Наверное, они не обовьют героев. Ну, вроде бы.",*xs(,1832159724 2243155315 3680413876
2008,МОРОЗ ЗАПОЛНЯЕТ НЕБО,"cR, 5&",2229712966 4293863778 2688580633
2009,"Чистые белые ледяные кристаллы кружатся между небом и землей, как сон, словно иллюзия.",,592188222 594447385 354143702
2010,КРЫЛЬЯ ХАОСА,,648396665 2618920857 2041990786
2011,"Черные крылья растягиваются в хаосе, окутывая бесконечные неизвестности.","-zI, ]t, q)3",2738038359 2558945297 3216970999
2012,Потоковый Водный Удар,"""|, 4No, H|",3838407754 2513123733 2431524974
2013,"Сконцентрировав бушующий поток, брызги взрываются и бурлят.","bj, ,G",701095238 2198204430 2569120849
2014,Суд Священной Молнии,+2,3363107891 365226258 427243212
2015,"Столп молнии, несущий кару небесную, пронзает арену, и трескучие дуги взмывают ввысь.","ia#, x{",1485848130 3841346606 3992477170
2016,Благословение Леса,?7|,4263773216 732097950 3632748858
2017,Защитный барьер из переплетенных лоз и теней цветов.,"CXH\P, na, SJ",37427404 2358352809 29114082
2018,Голос Музыки,":/hy, wRI, J9D,",624935414 3380004720 2959855846
2019,"зды складываются в мелодию. Падая, отражаясь и приводя вс",",b, 1UY",3773586747 3606667499 1926749900
2020,в движение.,,478013519 637273290 2634192737
2021,Лазурный Приговор,"FdHO, nF]1",21922207 2155155549 2638807288
2022,"Над ясным небом, огромный меч из чистой энергии рассекает облачный вихрь, обрушиваясь на землю, словно божественный приговор.","^], Zag",3631547206 3055466334 2934238929
2023,Пробуждение Скорпиона,"ddKM, Vj",1436626925 2355759131 3831143395
2024,"нный в лазурной туманности, фантом Скорпиона разрывает пустоту, неся ярость самих зв","pR!v, ""f",886037799 4127307057 3805824259
2025,зд.,,656705888 3465625246 1758689836
2026,Сказочный Снежный Домик,/~4,672284973 328674516 3337158892
2027,"Сказочный домик, затерянный в зимней сказке, с хрустальными сосульками на карнизах и пушистым снегом на сосновых ветвях.","p{, N)",2413747412 3764331199 4154251413
2028,Сияние звездного кольца,"CO-, Sc, -*",2113261655 3598295868 358840314
2029,"Звездные кольца спиралью спускаются из пустоты, полосы света вздымаются, как галактика. Центральное око испускает ослепительный столб света. Каждый луч несет в себе мощь падающих звезд, возвещая о вашем появлении.","Ad, H[g]",3777798364 3502135867 1945795292
2030,МЛедяной владыка,"EA, 95, AD, JD",3555559699 1463301929 1507629427
2031,Свидетельство о закрытом тестировании,"jAp, H8, pnp",220835309 1902973624 443539824
2032,Теневой демон-Повелитель Т,v]w,2552544885 1751521574 3615714435
2033,Топ-100 по рангу,"h"", vv",638910843 3805690267 1989149889
2034,Топ-10 по рангу,oy,1501653082 11379857 2987804590
2035,Первый по рангу,"nWC, `Y",2205651139 2105990855 2985100173
2036,Топ-100 списка Победы,"E;P, dP",2816812526 3548135595 2998469762
2037,Топ-10 списка Победы,,3075900008 220717788 3577032839
2038,списка Победы,"n!, BW",2000704553 1450679779 3324536652
2039,Медоед в ином мире,"Lh0, C}",309533480 447144191 892948898
2040,Ткач Мира,"RN, WK, OF",3686283257 2702882822 2951364632
2041,Первое место в турнире,"/b, G:",155366782 3190088838 3153107323
2042,Второе место в турнире," x, 1Y",748278557 2258451029 3729289747
2043,Третье место в турнире,,3612701063 3415301048 2323534028
2044,Способ получения: эксклюзивный для внутреннего тестирования),",Z\kT, xo(",117736594 3880900681 2843804877
2045,"Кажется, этот медоед испытывает настоящую страсть к созданию видео.",z^mm,3191672659 1300264349 3728705122
2046,"Награждаются великие участники, которые внесли огромный вклад в развитие игры. Те, кто с помощью языка строят мосты и соединяют миры.","?E[, <z:21P",9451799 328753342 125248930
2047,"После открытия, случайно получите следующие предметы:","ShC, 0S",671503987 2026479867 240584529
2048,КОРОЛЕВСКИЙ КРИСТАЛЛ,"rX, !q, ;a",902259303 3777102766 3382696313
2049,Используется для разблокировки премиум-канала наград в Руководстве по Сезону.,^>,3232312750 2627692303 2106484927
2050,Получайте карты Таро ежедневно,eT,3830608476 3448367081 157076634
2051,ЕЖЕМЕСЯЧНЫЙ ПАК,A4!,1668928898 299738327 4207139821
2052,Содержит Таро,"!Y, GO, KD, t9",1100874092 4022937793 2447194565
2053,и Королевский кристалл,,4076338435 252190245 1963082938
2054,ЕЖЕДНЕВНЫЙ БОНУС,p7,2775705041 3360281112 3439420096
2055,БОНУС КАРТЫ МЕСЯЦА,,3865346201 4248396451 3948634330
2056,Получите карты Таро,"""{, G~",2100780559 720465827 3417687771
2057,в день,"VO, b[",2601688179 675660132 750191767
2058,Удачи,"Ls, a3, SC",3399583571 4009485436 3765698102
2059,ПАК ТАРО,"inYM, HE",595593768 2310889717 3408293860
2060,КРИСТАЛЛ ПАК,]Ih,2557125167 2986316831 2449938968
2061,АЛМАЗНЫЙ ПАК,"PHP, @u,2",1750225125 3588323604 824783570
2062,Кристальный Сундук,]*,2885636438 881882837 1078022867
2063,Удачи!,"J?, :8, zE, _#",4270645427 1863175069 415406786
2064,Кристальные сундуки открываются автоматически при получении. Полученные предметы можно посмотреть в меню,"5T, cST",894971229 2938801694 1964723516
2065,Коллекция,"ej, CW[, -Q",1129829990 1357208157 2973918135
2066,Шансы выпадения предметов из одного сундука:,"LR, b_",3379244614 3151900994 196531781
2067,"При получении предмета из Коллекции, который у вас уже есть, он будет преобразован в [{1}] в зависимости от его редкости (можно использовать для обмена на предметы Коллекции). Коэффициенты преобразования:",w;,639584363 247768265 2637576720
2068,Руководство,"0x/, y_, A-",3271859972 1442522896 3191766902
2069,НАВЫК],"OT]6, +M}e",1227040017 1002907037 126538095
2070,Навыки делятся на,,641476009 327621905 799105350
2071,Общие навыки,Z3,3284622260 2324427529 243433804
2072,Редкие навыки,"8b, J<n",345698346 1329246394 3658297843
2073,Мифические навыки,"-#S, ""z, @G"", MN",1925623251 2773687076 3641801264
2074,При изучении они соответственно увеличьте 1,"t@, 9_D",890190383 2993372609 1107536467
2075,опыта ветки.,"yd#, 5Q",443200332 3193309738 1680353987
2076,"начинают появляться, когда соответствующая школа достигла 1 звезды, а при достижении 2 звезд они обязательно появятся.",Bh<,855364598 922951992 3179220066
2077,Легендарные навыки,"=/,  Q",3631991675 2789330041 1098880213
2078,"начинают появляться, когда школа достигает 3 звезд. Если в магазине остались свободные места, они обязательно появятся при достижении 4 звезд.","/d, bf",1394781296 2866225617 3649268358
2079,Навыки дают значительные бонусы при достижении самого высокого уровня.,,1274697721 3799486396 2060765283
2080,ЗВЕЗДА ВЕТКИ],"I!, 6ML.",2489064650 1795632834 3096905085
2081,Каждый навык принадлежит 1-2 конкретным веткам.,"}h, ip",2812585795 3783960672 4211477820
2082,"Изучение навыка увеличивает звездный уровень ветки и дает эффекты, специфичные для ветки.","4;=, A#, J1e",1495490639 4012248086 2199919172
2083,"Когда ветка достигает максимального уровня, она дает существенные бонусы.",>6,3866403070 1372284519 1390824488
2084,УРОВЕНЬ ГЕРОЯ],",GM0\, 4f",26218013 2683927126 2181733340
2085,При повышении уровня ветки уровень героя увеличивается синхронно.,ZI,2863696838 2054242765 4122462707
2086,При повышении уровня герой дополнительно получает,]<,3037945583 1951373251 137277511
2087,СТАТИСТИКА],,746788360 2607431435 4143308599
2088,Максимальное значение,"t+Y%, IK",4204347875 4038094536 3223206349
2089,в бою составляет 75 каждый.,L_,2209994390 973277480 2227280506
2090,Множитель урона по умолчанию для,"@??, >S, *L",1003693936 194851266 241464227
2091,Критических атак,J'0,1212016717 32269874 613676291
2092,равен 75. 200,"3i, U?, ao",1358178744 2285616416 3715798656
2093,"В дополнение к базовой регенерации энергии и регенерации энергии, основанной на навыках, потеря определенного процента","""N, W r",3270694492 1909565524 1867046297
2094,дает определенное количество,"Nd, B*=",3997672805 88339727 1816912537
2095,"Когда оглушены, базовые атаки, уклонение и ультимативные навыки использовать нельзя.","6], X_, E , -6",453880431 3607360688 1740606664
2096,ТИП,,2139412945 3325989089 1731815214
2097,Базовые атаки,Ga8,2378927892 571756271 2036648093
2098,по умолчанию считаются,"q7, +qu, S=",3950857537 2516806583 74491912
2099,Физическим уроном,"{i, 7p, %2",1782928223 3525026430 2203027785
2100,и на них влияют,0/,2264167389 3041391596 3933089756
2101,Обычно ассоциируется с,"4Y, ;<",133375923 3170346972 2533451880
2102,Ультимейты,og,3547863940 2619413518 3385805240
2103,"или навыки, и по умолчанию не может","c>, GE",2850202696 887845588 1269431394
2104,критического,"uQ, YfH",3990085247 3351664862 1731885995
2105,или быть,"W', TX",1444855447 2470980492 3226027238
2106,уклоненным,"]0r, #M, f2",131480645 4203234775 1620803207
2107,Ядовитый урон],"gG, 2$",819091864 3908854286 1257278410
2108,Урон зависит от,"9!Y, lH, #A",765787279 3457342642 1640740703
2109,количества стаков яда,+H,3484533181 1419070066 2745751850
2110,и по умолчанию не может,"pk, 4+, 8Z",4191868397 414056406 3053037705
2111,или от него,"NC, V^@1",2814716069 3888919997 4230624153
2112,Святой урон],"AP|.-, Cs, H0",2657938255 3470946033 3833242396
2113,"На него не действуют все бонусы, кроме ускорения боя, от него нельзя",$w,3103194807 304695293 3772250827
2114,увернуться,B4,934211624 3919562071 2786454470
2115,блокирует,2Xt,3959851447 1690668955 3400522806
2116,Щиты,"X,",2328826786 1992823678 549645748
2117,или общие для,"[)S, #a",1835915110 1660466036 410942615
2118,ДЕТАЛИ ФИЛИАЛА],"G6, N0, fa, CZ",416887309 3037897519 135684193
2119,не срабатывают при полном,=a,1490863596 242528806 3118014772
2120,каждый стак Щита блокирует 1 урон при получении урона и нейтрализует,"=Saj$, rQB",2938603891 1965865444 783686499
2121,каждая стопка РАНЕ увеличивает получаемый урон на 1 и нейтрализует,]d]3d,370680844 3471403365 3391041508
2122,"вызывает духов на поле битвы. Нажмите на дух, чтобы просмотреть его долю",,949797793 2105197853 249398941
2123,Несколько духов распределяют урон вместе.,">b, 2C3",210407855 1404884146 1885304399
2124,НАСТРОЙКИ МАТЧА],/;,129056484 3352722237 140032701
2125,"Для каждого матча случайным образом выбираются 8 веток, а остальные запрещаются.",_0,888226560 3512083422 3686454675
2126,"Пул навыков общий, и общее количество каждого навыка ограничено. Когда игрок выбывает, некоторые из его изученных навыков возвращаются в магазин.","o3.6, Fm",3106249313 3705051890 3988945210
2127,При выполнении условий звездного уровня игроки могут изучить,Nf,2748514206 525499873 3095403918
2128,из случайного набора навыков.,"IJ, }-,",548336172 2798446835 2044986908
2129,"Если битва длится слишком долго, она ускоряется, увеличивая весь урон на поле.",KP,668563354 3007386373 1861892204
2130,Урон ИГРОКУ],"b\, >X",1064408683 2671596246 302944498
2131,"Игроки начинают с уроном по умолчанию, равным 1. Победа в битве увеличивает урон, а поражение уменьшает урон.",{WX,2588154945 583875618 2620615477
2132,"Урон имеет верхний и нижний пределы, которые постепенно увеличиваются с каждым раундом.",x98b ,1377004815 1521456238 2918479505
2133,ЗЕРКАЛО],"d>, [5",3164191216 526984600 3542549078
2134,"Если на поле нечетное количество игроков, случайный игрок копируется в зеркальном отображении.",Kj,3490379858 3167657088 3633798043
2135,Победа над копией не наносит вреда исходному игроку.,"qeB, O2",2381637927 3751349636 349023164
2136,"В боях нажмите на игрока, чтобы просмотреть статистику.","x$!, 5o, #\",635027541 1157704351 1805940251
2137,"Нажмите на любую статистику, чтобы просмотреть подробные данные.","I$2, ICs, KA",3384450792 1277700524 2908576614
2138,ЗОЛОТОЙ ДОХОД],"Qz, mV",1733162087 835821517 3076424843
2139,В бою золото используется для покупки навыков.,"gH1,XX, b{",2479979509 2043660240 2869488806
2140,Базовый доход:,"(jwq, QP",2522754173 2735023193 2786026240
2141,Автоматически получайте 300-400 золота каждый раунд. Сумма увеличивается с каждым раундом.,"_kR, }zF",4200986145 4027084364 3436849133
2142,Проценты:,"1*, '~, v&",3035133425 2620038033 1612387038
2143,"За каждые 100 золота в конце раунда вы получаете 10 бонусного золота в следующем, максимум до 50.",0P,2130485721 2349506919 257717104
2144,Победа:,6*,3459356241 1864086211 1100831679
2145,Получите 50 золота за победу в бою.,QD,1253493017 3416235768 4223309680
2146,Серия побед:,"Lde;[, w+",2943621973 3158187548 2102509467
2147,"Получайте 10 дополнительного золота за каждую победу подряд, максимум до 30.",,914256273 2751543591 2565372477
2148,Компенсация за поражение:,2r,1148456309 2924697619 1288418033
2149,"Получите 30 золота за каждую единицу здоровья игрока, потерянную от врага.",oe,3708792039 3631969897 616999887
2150,ПРО,"RK"", #?",3080886377 3931162049 1671909684
2151,"Легко построить. Поскольку в этом раунде запрещена ветка ?Заморозка?, это может быть лучшим выбором.","km, R<, h?#",4166370813 320309190 3868896660
2152,"Быстро наносите базовый урон от атаки, используя эффекты звезд веток.","p$>Q, f>\, qF}",1570690274 2485089846 3266615326
2153,"Замораживание замедляет скорость атаки, а рост уклонения затруднен. Учитывайте это, когда функция","7o, OF, )8&[",2883538398 138155024 2241130065
2154,недоступна.,rb,746750860 2731172928 1714496162
2155,Уделяйте приоритетное внимание обновлению Уклонения для выживания и нанесения урона. Не рекомендуется новичкам.,*),613889029 2920398409 143880385
2156,"Магическое уклонение + высокое значение уклонения, позволяет додж почти от любого урона, кроме яда и священного урона.","i$a, 3r, h)",1631428150 3987542656 3038779827
2157,Оковы ловкости и Ядовитый урон могут противостоять.,"*5, HE",1620011289 2314889620 2595108133
2158,Изначально все,"1N, *t",2049515477 3490572586 1196373206
2159,"могут нанести критический удар, доступны дополнительные продвинутые стратегии магического взрыва.","<f, uM, &y",3702286891 4009982578 1078803731
2160,Ключевым моментом является улучшение Крит и увеличение частоты Физического урона для взрывного урона.,"lz, zH, 5Y",3083446509 1728218292 1278198353
2161,"Помимо Защиты от крита, наблюдайте за составом урона противника, чтобы выработать эффективную стратегию.",F[,1352278652 921559354 917251937
2162,"Связь, запускаемая","i^ D{tL, VR",3333721967 1238473829 468978701
2163,является наиболее стабильной,|WN,1874112751 1003129230 1233727207
2164,сосредоточьтесь на увеличении здоровья героя на более поздних этапах.,"D+7, [2",1694118483 2066335501 467890830
2165,Отдавайте приоритет максимальному,"(h, 2y",3766794468 750063175 2049842266
2166,"полагайтесь на Удар здоровьем, Яд и т. д., чтобы нанести урон.","Hb), d5",3025553494 3506456415 3471801555
2167,Кража,T*]_,3001794327 3325430993 313938616
2168,очень эффективен против,"lJ[Xw, ""i",2541956551 2014176825 2727390483
2169,"Не рекомендуется новичкам в качестве основной ветки, поскольку в первых 10 раундах эффект восстановления лучше.",UI,447335503 3911529611 1124234675
2170,Увеличьте количество восстановления и частоту срабатываний,,4285731305 789246894 2729548287
2171,раннее естественное заживление имеет высокую экономическую эффективность.,"2>i., `/",1976798235 1955971322 1612128584
2172,Нарушение исцеления значительно уменьшает количество восстановления противника.,"D7, `A, 0E",234185224 2729468738 3536603858
2173,"Выбирайте, когда нет ветки",,2235355371 2005716561 2180435000
2174,или Щита.,,2118130631 713234352 142249757
2175,"Быстрое восстановление энергии для высокочастотных заклинаний Ульты, а также важно проявлять инициативу.","w9, W=",268150418 1630810461 2130868757
2176,"Уменьшите восстановление энергии противника, увеличьте количество звезд ветки",vtM,3326045677 1943890787 1272212988
2177,а предбоевой щит предотвращает мгновенное убийство.,"7q, _d",3492100325 830234985 2000525390
2178,"Сильная ветка со многими навыками, связанными с ядом, может попробовать ветки Яд+Заморозка.","P+, Y$",2248059729 2438242295 1841321000
2179,"Увеличьте количество стаков яда и урон от одного яда, при этом последний имеет приоритет.",99m,517400050 1214772009 4274977914
2180,"За исключением противоядия от яда, наблюдайте за накоплением яда противника и координацией действий для противодействия.","<[/, .3",3190609583 3213769839 2312586644
2181,"Лучший выбор для Маг. Урона, блестяще работает с Магическим критом.",='(M,3891752261 967695630 865447692
2182,"Активируйте Урон от заморозки для нанесения урона, а триггерные навыки не обязательно должны быть на максимальном уровне.","z&, aj, oX Qx, 53)",1414483600 3443532747 2248888672
2183,"Противоядие от заморозки уменьшает количество стаков заморозки, и вам следует обращать внимание на метод срабатывания противника.", ycq,792445356 2943722305 310612135
2184,"это ядро, увеличивающее срабатывание щита, с усилением критического удара в качестве поддержки.",FF,2440217037 3781952317 1628741649
2185,"Постарайтесь максимально использовать Удар щитом и получить все навыки щита, не обязательно на максимальном уровне.","HU, zz, Ho",4193905513 3030853310 2256857046
2186,Разрушение щита,"iWg, ""%, @_",1545388287 1333062534 4229551985
2187,Уворот от ускорения,$~7T,1842716892 3497269997 1588726018
2188,Базовая ветка АТК может быстро расходовать заряды.,2j,1318001150 2556631665 2320838172
2189,"Ветка поддержки и повышения урона может быть основной веткой, когда ветки",ms,2096718209 3847497126 1606425685
2190,и Щит запрещены.,"nKf, P|, Dh|",129040188 1826707335 4017999674
2191,"Увеличьте количество стаков РАН, насколько это возможно, используя Бесконечный гром в качестве основного урона.","b4, ^^",427708107 2348471617 2416491943
2192,Щиты напрямую нейтрализуют раны. Иммунитет к ранам снижает количество стаков,Z{-x,2520039981 3545419855 3061682231
2193,"Ветка, получившая урон, может быть методом поддержки выживания, даже не являясь основной веткой.","5E, {l, je, `Fl",4270694039 1023770213 339737391
2194,"В качестве основного урона отдайте приоритет ДУХ КОНТРАКТ, ДВОЙНЫЕ ДУХИ, Эльфийские пули или суммирующимся баффам.",,4119440129 4206781454 3964720005
2195,"Пока духи противника уничтожены, противник по сути побежден.","YG, brA, T`}, S=",1847685926 406871577 3036752248
2196,Ярость значительно увеличивает урон во время своего действия.,xm,1549980845 3909974933 407727791
2197,"Накопите больше ярости, обеспечьте длительную ярость и добивайтесь более высоких бонусов к урону.",,3756994206 1893092367 1290529083
2198,"Уменьшите эффективность накопления ярости противника, насколько это возможно, избегайте высокой частоты и метода нанесения низкого урона.",L|,805489733 3552059344 2475892268
2199,Ускоряет интервал произнесения Периодических Способностей,"/_, +q^*",2073558100 1315151601 728775605
2200,"Изучите как можно больше Периодических Способностей и ускорьте интервалы произнесения, чтобы быстро активировать Заряженную Ракету","yV, Wy, @R5, u""",3432722478 2699222024 1824859377
2201,вызывайте многочисленные Священные Метки Полумесяца через Цикличность,"_:@, 6)|, ( ",1763264339 1350945646 2735831604
2202,Используйте Заморозку для противодействия Ускорению,YN,1314513211 3319247247 2425304112
2203,Истощение Ускорения снижает эффективность получения Ускорения,{\,1347667459 1368826606 2934225766
2204,"Нажмите на духи в сцене,чтобы просмотреть их здоровье","Sr@, 12,z",1959293480 3716559400 771882065
2205,"В игре есть горячие клавиши. Когда курсор мыши наводится на них,отображаются кнопки. Также их можно отключить в настройках","ZG, TW, |C",3535916266 280119193 3469973085
2206,Хотите переучить учебник для новичков? Нажмите на кнопку руководства на главном интерфейсе. Также есть уникальные стратегии школ и советы,"vk, +Wd, Hj",3302505846 3464747732 746675340
2207,Некоторые сокровища не появляются на всех этапах. Вы можете переключить этапы в иллюстрированном руководстве для просмотра,"?y, Y ,",3383204965 831016416 1075004326
2208,"После того, как соответствующие ветки будут заблокированы, связанные с ним герои не будут появляться.","FZd, Ct, ~M",2273026242 1704322218 2453340416
2209,Хотите быстро понять ситуацию? Попробуйте нажать клавишу,"GC, z`",530101999 926034491 1172293797
2210,в игре,"s*, Ua",2608057920 1666967422 2906331668
2211,Клавиша,,2421923568 4121288605 1616442165
2212,может закрыть большинство всплывающих интерфейсов,,3146581182 2741869394 1398871809
2213,"Что делать,когда встречается игрок,который делает неподходящие замечания? Нажмите на его аватар и сообщите о нем!","[d, g^",1198448107 359872298 3640004927
2214,"Число в мече рядом с аватаром в игре представляет собой урон,причиненный игроку после победы","Lz, LF",424626836 3774180079 2163273206
2215,Код обмена вводится в настройках в правом верхнем углу главного интерфейса. Присоединение к официальному сообществе позволяет получить последние коды обмена,gV,47386218 3069094431 1024054447
2216,Отравление нельзя уклониться и оно не относится к магическому урону,",iMM",1738696085 766480462 1243942554
2217,В каждой игре появится только 8 школ навыков,i1^j4$,149699487 3157271219 968703053
2218,"Все когда-то были новичками. Пожалуйста,относитесь с пониманием к новым игрокам.","N(?, 9V, FF",1275702209 2266405302 3082520711
2219,Знаете ли вы? Вы можете просмотреть информацию нажав на героя во время битвы,*N,4176933324 937987388 1596903879
2220,"На некоторые сокровища необходимо нажать,чтобы использовать их","28,  dB, 0J#p",588795357 2783960290 2694396883
2221,"По умолчанию,Уворот и Критический удар действуют только на физический урон","(kB, /5NN, ^.",1717656487 4183208179 1785491081
2222,Вы можете взять с собой тр,"1a, }h",2287261207 4024371219 304189205
2223,х или семь друзей что бы поиграть в,"y^, Z[, &Dr@",3436725948 1710402572 1238862862
2224,вместе,"bp, ^3, |_C",2080830196 3883064510 3808528735
2225,"Говорят,что в командных играх будет дополнительный бонус очков","@3, -w,  %`",282684903 364509887 1220101277
2226,Количество каждого навыка ограничено,"%~, .2",2822011591 3070667954 1284776751
2227,"Когда игрок выбывает из игры, некоторые из изученных им навыков возвращаются в магазин.","5\, rw, .f",3114922014 1415404636 1010622611
2228,"Обратите внимание, что",0g,3087278844 1230097358 2949872800
2229,выпустил {1} бомбу!!!,C5H,727756748 2472806769 3706419144
2230,обезвредил бомбу!,"YP!_, vh, ,X",3488626477 4137754653 1471026255
2231,Бомба {0} была передана,"rB, 7p",4009326899 3399197876 3888468724
2232,Бомба {0} была передана от,"-2-, K], *U",1141865749 231874565 476605863
2233,"Вам нужно получить {0} навыков {1} до конца этапа подготовки, чтобы обезвредить бомбу.",p]O#\,3302708857 2327092823 45473675
2234,Бомба взорвалась в месте,"CZA, +T3L",3466825439 569353862 3978016431
2235,Опасность!,"$Y, f`X",3601257253 428389188 3844373304
2236,Безопасность!,"H%, UkI,",3925177126 1990453503 4284684256
2237,Ограничение на покупку {0},9W|!5,290638202 1596165091 3518026922
2238,Подарочный набор для Рождества,"SU, kj",1598035302 2202619931 4147606484
2239,"Включает в себя аватар рыцаря-паладина, 20 карт Таро и 600 кристаллов Броула.",2.,729982899 2039025244 2182596099
2240,Подарочный набор к Новому году,"{Q,, nFYk, )R",2857505423 2850035861 599754098
2241,"Включает аватар Рыцаря-волка, 20 таро-карт и 600 кристаллов арены.",1N,3081207796 2787422280 1035244220
2242,Еженедельный подарочный набор с картами таро,";jb, Ju, .o",3692619949 4005172224 1019012646
2243,Он содержит 50 карт таро.,yn,3548105767 272848444 2850071017
2244,Спецпредложение,"_-R, *5, m|",2400038847 2645604764 1813104367
2245,Поздравляем вас с достижением ранга {0}!,"e.e1, 72, bF, DmQR",3424018711 3280701396 2423652166
2246,Вы получили аватар {1}.,=V`,3651964687 3039287157 4249264425
